# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-133.910387 0.999986 0.007468 0.999986 0.007468 
-133.753307 0.999986 0.007476 0.999986 0.007476 
-133.596228 0.999986 0.007485 0.999986 0.007485 
-133.439148 0.999986 0.007494 0.999986 0.007494 
-133.282068 0.999985 0.007503 0.999985 0.007503 
-133.124989 0.999985 0.007512 0.999985 0.007512 
-132.967909 0.999985 0.007521 0.999985 0.007521 
-132.810829 0.999985 0.007529 0.999985 0.007529 
-132.653750 0.999985 0.007538 0.999985 0.007538 
-132.496670 0.999985 0.007547 0.999985 0.007547 
-132.339591 0.999985 0.007556 0.999985 0.007556 
-132.182511 0.999985 0.007565 0.999985 0.007565 
-132.025431 0.999985 0.007574 0.999985 0.007574 
-131.868352 0.999985 0.007583 0.999985 0.007583 
-131.711272 0.999985 0.007592 0.999985 0.007592 
-131.554192 0.999985 0.007601 0.999985 0.007601 
-131.397113 0.999985 0.007610 0.999985 0.007610 
-131.240033 0.999985 0.007620 0.999985 0.007620 
-131.082953 0.999985 0.007629 0.999985 0.007629 
-130.925874 0.999985 0.007638 0.999985 0.007638 
-130.768794 0.999985 0.007647 0.999985 0.007647 
-130.611715 0.999985 0.007656 0.999985 0.007656 
-130.454635 0.999985 0.007665 0.999985 0.007665 
-130.297555 0.999985 0.007675 0.999985 0.007675 
-130.140476 0.999985 0.007684 0.999985 0.007684 
-129.983396 0.999985 0.007693 0.999985 0.007693 
-129.826316 0.999985 0.007703 0.999985 0.007703 
-129.669237 0.999985 0.007712 0.999985 0.007712 
-129.512157 0.999985 0.007721 0.999985 0.007721 
-129.355078 0.999985 0.007731 0.999985 0.007731 
-129.197998 0.999985 0.007740 0.999985 0.007740 
-129.040918 0.999985 0.007749 0.999985 0.007749 
-128.883839 0.999984 0.007759 0.999984 0.007759 
-128.726759 0.999984 0.007768 0.999984 0.007768 
-128.569679 0.999984 0.007778 0.999984 0.007778 
-128.412600 0.999984 0.007787 0.999984 0.007787 
-128.255520 0.999984 0.007797 0.999984 0.007797 
-128.098440 0.999984 0.007806 0.999984 0.007806 
-127.941361 0.999984 0.007816 0.999984 0.007816 
-127.784281 0.999984 0.007826 0.999984 0.007826 
-127.627202 0.999984 0.007835 0.999984 0.007835 
-127.470122 0.999984 0.007845 0.999984 0.007845 
-127.313042 0.999984 0.007855 0.999984 0.007855 
-127.155963 0.999984 0.007864 0.999984 0.007864 
-126.998883 0.999984 0.007874 0.999984 0.007874 
-126.841803 0.999984 0.007884 0.999984 0.007884 
-126.684724 0.999984 0.007894 0.999984 0.007894 
-126.527644 0.999984 0.007903 0.999984 0.007903 
-126.370564 0.999984 0.007913 0.999984 0.007913 
-126.213485 0.999984 0.007923 0.999984 0.007923 
-126.056405 0.999984 0.007933 0.999984 0.007933 
-125.899326 0.999984 0.007943 0.999984 0.007943 
-125.742246 0.999984 0.007953 0.999984 0.007953 
-125.585166 0.999984 0.007963 0.999984 0.007963 
-125.428087 0.999984 0.007973 0.999984 0.007973 
-125.271007 0.999984 0.007983 0.999984 0.007983 
-125.113927 0.999984 0.007993 0.999984 0.007993 
-124.956848 0.999983 0.008003 0.999983 0.008003 
-124.799768 0.999983 0.008013 0.999983 0.008013 
-124.642689 0.999983 0.008023 0.999983 0.008023 
-124.485609 0.999983 0.008033 0.999983 0.008033 
-124.328529 0.999983 0.008043 0.999983 0.008043 
-124.171450 0.999983 0.008053 0.999983 0.008053 
-124.014370 0.999983 0.008064 0.999983 0.008064 
-123.857290 0.999983 0.008074 0.999983 0.008074 
-123.700211 0.999983 0.008084 0.999983 0.008084 
-123.543131 0.999983 0.008094 0.999983 0.008094 
-123.386051 0.999983 0.008105 0.999983 0.008105 
-123.228972 0.999983 0.008115 0.999983 0.008115 
-123.071892 0.999983 0.008125 0.999983 0.008125 
-122.914813 0.999983 0.008136 0.999983 0.008136 
-122.757733 0.999983 0.008146 0.999983 0.008146 
-122.600653 0.999983 0.008157 0.999983 0.008157 
-122.443574 0.999983 0.008167 0.999983 0.008167 
-122.286494 0.999983 0.008177 0.999983 0.008177 
-122.129414 0.999983 0.008188 0.999983 0.008188 
-121.972335 0.999983 0.008199 0.999983 0.008199 
-121.815255 0.999983 0.008209 0.999983 0.008209 
-121.658176 0.999983 0.008220 0.999983 0.008220 
-121.501096 0.999983 0.008230 0.999983 0.008230 
-121.344016 0.999982 0.008241 0.999982 0.008241 
-121.186937 0.999982 0.008252 0.999982 0.008252 
-121.029857 0.999982 0.008262 0.999982 0.008262 
-120.872777 0.999982 0.008273 0.999982 0.008273 
-120.715698 0.999982 0.008284 0.999982 0.008284 
-120.558618 0.999982 0.008295 0.999982 0.008295 
-120.401538 0.999982 0.008306 0.999982 0.008306 
-120.244459 0.999982 0.008316 0.999982 0.008316 
-120.087379 0.999982 0.008327 0.999982 0.008327 
-119.930300 0.999982 0.008338 0.999982 0.008338 
-119.773220 0.999982 0.008349 0.999982 0.008349 
-119.616140 0.999982 0.008360 0.999982 0.008360 
-119.459061 0.999982 0.008371 0.999982 0.008371 
-119.301981 0.999982 0.008382 0.999982 0.008382 
-119.144901 0.999982 0.008393 0.999982 0.008393 
-118.987822 0.999982 0.008404 0.999982 0.008404 
-118.830742 0.999982 0.008415 0.999982 0.008415 
-118.673662 0.999982 0.008426 0.999982 0.008426 
-118.516583 0.999982 0.008438 0.999982 0.008438 
-118.359503 0.999982 0.008449 0.999982 0.008449 
-118.202424 0.999982 0.008460 0.999982 0.008460 
-118.045344 0.999982 0.008471 0.999982 0.008471 
