# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-0.810000 2.267551 -0.243378 2.267551 -0.243378 
-0.780000 2.258492 -0.237217 2.258492 -0.237217 
-0.750000 2.249337 -0.231293 2.249337 -0.231293 
-0.720000 2.240092 -0.225605 2.240092 -0.225605 
-0.690000 2.230760 -0.220154 2.230760 -0.220154 
-0.660000 2.221347 -0.214938 2.221347 -0.214938 
-0.630000 2.211856 -0.209957 2.211856 -0.209957 
-0.600000 2.202292 -0.205211 2.202292 -0.205211 
-0.570000 2.192658 -0.200699 2.192658 -0.200699 
-0.540000 2.182959 -0.196420 2.182959 -0.196420 
-0.510000 2.173197 -0.192374 2.173197 -0.192374 
-0.480000 2.163378 -0.188561 2.163378 -0.188561 
-0.450000 2.153504 -0.184980 2.153504 -0.184980 
-0.420000 2.143579 -0.181630 2.143579 -0.181630 
-0.390000 2.133607 -0.178511 2.133607 -0.178511 
-0.360000 2.123590 -0.175623 2.123590 -0.175623 
-0.330000 2.113532 -0.172965 2.113532 -0.172965 
-0.300000 2.103436 -0.170538 2.103436 -0.170538 
-0.270000 2.093305 -0.168340 2.093305 -0.168340 
-0.240000 2.083143 -0.166371 2.083143 -0.166371 
-0.210000 2.072951 -0.164632 2.072951 -0.164632 
-0.180000 2.062734 -0.163122 2.062734 -0.163122 
-0.150000 2.052495 -0.161841 2.052495 -0.161841 
-0.120000 2.042235 -0.160790 2.042235 -0.160790 
-0.090000 2.031959 -0.159967 2.031959 -0.159967 
-0.060000 2.021668 -0.159374 2.021668 -0.159374 
-0.030000 2.011366 -0.159010 2.011366 -0.159010 
0.000000 2.001056 -0.158876 2.001056 -0.158876 
0.030000 1.990740 -0.158971 1.990740 -0.158971 
0.060000 1.980422 -0.159297 1.980422 -0.159297 
0.090000 1.970104 -0.159854 1.970104 -0.159854 
0.120000 1.959789 -0.160641 1.959789 -0.160641 
0.150000 1.949481 -0.161661 1.949481 -0.161661 
0.180000 1.939181 -0.162912 1.939181 -0.162912 
0.210000 1.928893 -0.164396 1.928893 -0.164396 
0.240000 1.918621 -0.166114 1.918621 -0.166114 
0.270000 1.908367 -0.168066 1.908367 -0.168066 
0.300000 1.898135 -0.170253 1.898135 -0.170253 
0.330000 1.887927 -0.172676 1.887927 -0.172676 
0.360000 1.877748 -0.175336 1.877748 -0.175336 
0.390000 1.867600 -0.178234 1.867600 -0.178234 
0.420000 1.857486 -0.181370 1.857486 -0.181370 
0.450000 1.847412 -0.184746 1.847412 -0.184746 
0.480000 1.837380 -0.188363 1.837380 -0.188363 
0.510000 1.827394 -0.192221 1.827394 -0.192221 
0.540000 1.817458 -0.196323 1.817458 -0.196323 
0.570000 1.807576 -0.200669 1.807576 -0.200669 
0.600000 1.797752 -0.205260 1.797752 -0.205260 
0.630000 1.787991 -0.210097 1.787991 -0.210097 
