# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-0.930000 0.139928 0.139928 0.139928 0.139928
-0.900000 0.127818 0.127818 0.127818 0.127818
-0.870000 0.116444 0.116444 0.116444 0.116444
-0.840000 0.106503 0.106503 0.106503 0.106503
-0.810000 0.098338 0.098338 0.098338 0.098338
-0.780000 0.092061 0.092061 0.092061 0.092061
-0.750000 0.087677 0.087677 0.087677 0.087677
-0.720000 0.085168 0.085168 0.085168 0.085168
-0.690000 0.084557 0.084557 0.084557 0.084557
-0.660000 0.085939 0.085939 0.085939 0.085939
-0.630000 0.089513 0.089513 0.089513 0.089513
-0.600000 0.095579 0.095579 0.095579 0.095579
-0.570000 0.104492 0.104492 0.104492 0.104492
-0.540000 0.116458 0.116458 0.116458 0.116458
-0.510000 0.131037 0.131037 0.131037 0.131037
-0.480000 0.146275 0.146275 0.146275 0.146275
-0.450000 0.158134 0.158134 0.158134 0.158134
-0.420000 0.162117 0.162117 0.162117 0.162117
-0.390000 0.157210 0.157210 0.157210 0.157210
-0.360000 0.147272 0.147272 0.147272 0.147272
-0.330000 0.137595 0.137595 0.137595 0.137595
-0.300000 0.131698 0.131698 0.131698 0.131698
-0.270000 0.131165 0.131165 0.131165 0.131165
-0.240000 0.136741 0.136741 0.136741 0.136741
-0.210000 0.149233 0.149233 0.149233 0.149233
-0.180000 0.169999 0.169999 0.169999 0.169999
-0.150000 0.201144 0.201144 0.201144 0.201144
-0.120000 0.245278 0.245278 0.245278 0.245278
-0.090000 0.304005 0.304005 0.304005 0.304005
-0.060000 0.373452 0.373452 0.373452 0.373452
-0.030000 0.436799 0.436799 0.436799 0.436799
0.000000 0.464650 0.464650 0.464650 0.464650
0.030000 0.439455 0.439455 0.439455 0.439455
0.060000 0.377168 0.377168 0.377168 0.377168
0.090000 0.307402 0.307402 0.307402 0.307402
0.120000 0.247865 0.247865 0.247865 0.247865
0.150000 0.202937 0.202937 0.202937 0.202937
0.180000 0.171158 0.171158 0.171158 0.171158
0.210000 0.149911 0.149911 0.149911 0.149911
0.240000 0.137052 0.137052 0.137052 0.137052
0.270000 0.131188 0.131188 0.131188 0.131188
0.300000 0.131500 0.131500 0.131500 0.131500
0.330000 0.137252 0.137252 0.137252 0.137252
0.360000 0.146907 0.146907 0.146907 0.146907
0.390000 0.156986 0.156986 0.156986 0.156986
0.420000 0.162150 0.162150 0.162150 0.162150
0.450000 0.158378 0.158378 0.158378 0.158378
0.480000 0.146573 0.146573 0.146573 0.146573
0.510000 0.131270 0.131270 0.131270 0.131270
0.540000 0.116594 0.116594 0.116594 0.116594
0.570000 0.104553 0.104553 0.104553 0.104553
0.600000 0.095600 0.095600 0.095600 0.095600
0.630000 0.089524 0.089524 0.089524 0.089524
0.660000 0.085967 0.085967 0.085967 0.085967
0.690000 0.084625 0.084625 0.084625 0.084625
0.720000 0.085296 0.085296 0.085296 0.085296
0.750000 0.087885 0.087885 0.087885 0.087885
0.780000 0.092370 0.092370 0.092370 0.092370
0.810000 0.098764 0.098764 0.098764 0.098764
0.840000 0.107055 0.107055 0.107055 0.107055
0.870000 0.117108 0.117108 0.117108 0.117108
0.900000 0.128549 0.128549 0.128549 0.128549
0.930000 0.140633 0.140633 0.140633 0.140633
0.960000 0.152196 0.152196 0.152196 0.152196
0.990000 0.161787 0.161787 0.161787 0.161787
1.020000 0.168057 0.168057 0.168057 0.168057
1.050000 0.170242 0.170242 0.170242 0.170242
1.080000 0.168466 0.168466 0.168466 0.168466
1.110000 0.163619 0.163619 0.163619 0.163619
1.140000 0.156948 0.156948 0.156948 0.156948
1.170000 0.149634 0.149634 0.149634 0.149634
1.200000 0.142556 0.142556 0.142556 0.142556
1.230000 0.136241 0.136241 0.136241 0.136241
1.260000 0.130920 0.130920 0.130920 0.130920
1.290000 0.126610 0.126610 0.126610 0.126610
1.320000 0.123195 0.123195 0.123195 0.123195
1.350000 0.120480 0.120480 0.120480 0.120480
1.380000 0.118239 0.118239 0.118239 0.118239
1.410000 0.116251 0.116251 0.116251 0.116251
1.440000 0.114333 0.114333 0.114333 0.114333
1.470000 0.112356 0.112356 0.112356 0.112356
1.500000 0.110257 0.110257 0.110257 0.110257
1.530000 0.108031 0.108031 0.108031 0.108031
1.560000 0.105717 0.105717 0.105717 0.105717
1.590000 0.103379 0.103379 0.103379 0.103379
1.620000 0.101087 0.101087 0.101087 0.101087
1.650000 0.098904 0.098904 0.098904 0.098904
1.680000 0.096881 0.096881 0.096881 0.096881
1.710000 0.095048 0.095048 0.095048 0.095048
1.740000 0.093423 0.093423 0.093423 0.093423
1.770000 0.092008 0.092008 0.092008 0.092008
1.800000 0.090793 0.090793 0.090793 0.090793
1.830000 0.089762 0.089762 0.089762 0.089762
1.860000 0.088892 0.088892 0.088892 0.088892
1.890000 0.088157 0.088157 0.088157 0.088157
1.920000 0.087532 0.087532 0.087532 0.087532
1.950000 0.086990 0.086990 0.086990 0.086990
1.980000 0.086509 0.086509 0.086509 0.086509
2.010000 0.086066 0.086066 0.086066 0.086066
2.040000 0.085645 0.085645 0.085645 0.085645
2.070000 0.085232 0.085232 0.085232 0.085232
2.100000 0.084814 0.084814 0.084814 0.084814
2.130000 0.084385 0.084385 0.084385 0.084385
2.160000 0.083940 0.083940 0.083940 0.083940
2.190000 0.083476 0.083476 0.083476 0.083476
2.220000 0.082991 0.082991 0.082991 0.082991
2.250000 0.082488 0.082488 0.082488 0.082488
