# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
-0.180000 0.134818 0.134818 0.134818 0.134818
-0.150000 0.163995 0.163995 0.163995 0.163995
-0.120000 0.212098 0.212098 0.212098 0.212098
-0.090000 0.289877 0.289877 0.289877 0.289877
-0.060000 0.409237 0.409237 0.409237 0.409237
-0.030000 0.556920 0.556920 0.556920 0.556920
0.000000 0.638805 0.638805 0.638805 0.638805
0.030000 0.563380 0.563380 0.563380 0.563380
0.060000 0.415116 0.415116 0.415116 0.415116
0.090000 0.292986 0.292986 0.292986 0.292986
0.120000 0.213156 0.213156 0.213156 0.213156
0.150000 0.163868 0.163868 0.163868 0.163868
0.180000 0.134044 0.134044 0.134044 0.134044
0.210000 0.117018 0.117018 0.117018 0.117018
0.240000 0.109387 0.109387 0.109387 0.109387
0.270000 0.109862 0.109862 0.109862 0.109862
0.300000 0.118482 0.118482 0.118482 0.118482
0.330000 0.135422 0.135422 0.135422 0.135422
0.360000 0.157965 0.157965 0.157965 0.157965
0.390000 0.176126 0.176126 0.176126 0.176126
0.420000 0.176757 0.176757 0.176757 0.176757
0.450000 0.159446 0.159446 0.159446 0.159446
0.480000 0.136028 0.136028 0.136028 0.136028
0.510000 0.115492 0.115492 0.115492 0.115492
0.540000 0.100340 0.100340 0.100340 0.100340
0.570000 0.090112 0.090112 0.090112 0.090112
0.600000 0.083773 0.083773 0.083773 0.083773
0.630000 0.080468 0.080468 0.080468 0.080468
0.660000 0.079630 0.079630 0.079630 0.079630
0.690000 0.080927 0.080927 0.080927 0.080927
0.720000 0.084193 0.084193 0.084193 0.084193
0.750000 0.089361 0.089361 0.089361 0.089361
0.780000 0.096394 0.096394 0.096394 0.096394
0.810000 0.105214 0.105214 0.105214 0.105214
0.840000 0.115598 0.115598 0.115598 0.115598
0.870000 0.127076 0.127076 0.127076 0.127076
0.900000 0.138841 0.138841 0.138841 0.138841
0.930000 0.149779 0.149779 0.149779 0.149779
0.960000 0.158645 0.158645 0.158645 0.158645
