# Local self energy at imaginary frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-5.136503988619312e+02 1.999975763777243e+00 7.857488067557705e-03 1.999975740975747e+00 7.857488071439406e-03 
-5.130220803312133e+02 1.999975763774452e+00 7.866936356973608e-03 1.999975740972957e+00 7.866936360876736e-03 
-5.123937618004952e+02 1.999975763771651e+00 7.876408023802989e-03 1.999975740970156e+00 7.876408027789522e-03 
-5.117654432697773e+02 1.999975763768838e+00 7.885903155111534e-03 1.999975740967344e+00 7.885903158989141e-03 
-5.111371247390593e+02 1.999975763766017e+00 7.895421836270497e-03 1.999975740964522e+00 7.895421840076411e-03 
-5.105088062083414e+02 1.999975763763185e+00 7.904964155032265e-03 1.999975740961690e+00 7.904964158918906e-03 
-5.098804876776234e+02 1.999975763760342e+00 7.914530198294120e-03 1.999975740958848e+00 7.914530202228695e-03 
-5.092521691469055e+02 1.999975763757489e+00 7.924120054082329e-03 1.999975740955994e+00 7.924120057990675e-03 
-5.086238506161875e+02 1.999975763754625e+00 7.933733810617696e-03 1.999975740953130e+00 7.933733814498439e-03 
-5.079955320854696e+02 1.999975763751751e+00 7.943371556170906e-03 1.999975740950256e+00 7.943371560085552e-03 
-5.073672135547516e+02 1.999975763748865e+00 7.953033380526803e-03 1.999975740947370e+00 7.953033384209399e-03 
-5.067388950240336e+02 1.999975763745969e+00 7.962719372557672e-03 1.999975740944474e+00 7.962719376175015e-03 
-5.061105764933156e+02 1.999975763743063e+00 7.972429622287072e-03 1.999975740941568e+00 7.972429626035921e-03 
-5.054822579625977e+02 1.999975763740145e+00 7.982164220528692e-03 1.999975740938650e+00 7.982164224397778e-03 
-5.048539394318798e+02 1.999975763737217e+00 7.991923257979622e-03 1.999975740935722e+00 7.991923261836342e-03 
-5.042256209011618e+02 1.999975763734277e+00 8.001706825973245e-03 1.999975740932781e+00 8.001706829691993e-03 
-5.035973023704439e+02 1.999975763731327e+00 8.011515016190240e-03 1.999975740929831e+00 8.011515020185031e-03 
-5.029689838397259e+02 1.999975763728366e+00 8.021347921174218e-03 1.999975740926870e+00 8.021347924916489e-03 
-5.023406653090079e+02 1.999975763725393e+00 8.031205633280608e-03 1.999975740923897e+00 8.031205637057504e-03 
-5.017123467782899e+02 1.999975763722409e+00 8.041088245778372e-03 1.999975740920914e+00 8.041088249627751e-03 
