# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
0.150000 0.174272 0.174066 0.174272 0.174066
0.180000 0.167816 0.167697 0.167816 0.167697
0.210000 0.162012 0.161982 0.162012 0.161982
0.240000 0.156835 0.156876 0.156835 0.156876
0.270000 0.152195 0.152284 0.152195 0.152284
0.300000 0.147990 0.148106 0.147990 0.148106
0.330000 0.144142 0.144267 0.144142 0.144267
0.360000 0.140604 0.140723 0.140604 0.140723
0.390000 0.137361 0.137461 0.137361 0.137461
0.420000 0.134425 0.134497 0.134425 0.134497
0.450000 0.131822 0.131861 0.131822 0.131861
0.480000 0.129579 0.129588 0.129579 0.129588
0.510000 0.127717 0.127702 0.127717 0.127702
0.540000 0.126233 0.126203 0.126233 0.126203
0.570000 0.125093 0.125060 0.125093 0.125060
0.600000 0.124229 0.124202 0.124229 0.124202
0.630000 0.123534 0.123518 0.123534 0.123518
0.660000 0.122875 0.122864 0.122875 0.122864
0.690000 0.122102 0.122085 0.122102 0.122085
0.720000 0.121079 0.121039 0.121079 0.121039
0.750000 0.119706 0.119625 0.119706 0.119625
0.780000 0.117945 0.117811 0.117945 0.117811
0.810000 0.115824 0.115637 0.115824 0.115637
0.840000 0.113440 0.113212 0.113440 0.113212
0.870000 0.110946 0.110705 0.110946 0.110705
0.900000 0.108553 0.108339 0.108553 0.108339
0.930000 0.106531 0.106398 0.106531 0.106398
0.960000 0.105227 0.105236 0.105227 0.105236
0.990000 0.105055 0.105260 0.105055 0.105260
1.020000 0.106427 0.106849 0.106427 0.106849
1.050000 0.109587 0.110179 0.109587 0.110179
1.080000 0.114388 0.115019 0.114388 0.115019
1.110000 0.120112 0.120597 0.120112 0.120597
1.140000 0.125494 0.125670 0.125494 0.125670
1.170000 0.129079 0.128916 0.129079 0.128916
1.200000 0.130015 0.129652 0.130015 0.129652
1.230000 0.128628 0.128270 0.128628 0.128270
1.260000 0.126105 0.125895 0.126105 0.125895
1.290000 0.123832 0.123807 0.123832 0.123807
1.320000 0.122957 0.123052 0.122957 0.123052
1.350000 0.124063 0.124158 0.124063 0.124158
1.380000 0.127010 0.126993 0.127010 0.126993
1.410000 0.131001 0.130818 0.131001 0.130818
1.440000 0.134825 0.134502 0.134825 0.134502
1.470000 0.137260 0.136889 0.137260 0.136889
1.500000 0.137552 0.137239 0.137552 0.137239
1.530000 0.135677 0.135488 0.135677 0.135488
1.560000 0.132229 0.132174 0.132229 0.132174
1.590000 0.128052 0.128094 0.128052 0.128094
1.620000 0.123870 0.123963 0.123870 0.123963
1.650000 0.120110 0.120217 0.120110 0.120217
1.680000 0.116877 0.116980 0.116877 0.116980
1.710000 0.114032 0.114131 0.114032 0.114131
1.740000 0.111308 0.111413 0.111308 0.111413
1.770000 0.108437 0.108558 0.108437 0.108558
