# Local self energy at real frequency
# [Column] Data
# [1] Frequency
# [2] Re(Sigma_{shell=0, spin=up, 0, 0})
# [3] Im(Sigma_{shell=0, spin=up, 0, 0})
# [4] Re(Sigma_{shell=0, spin=down, 0, 0})
# [5] Im(Sigma_{shell=0, spin=down, 0, 0})
-0.840000 2.483196 -0.639429 2.489333 -0.643603 
-0.810000 2.478894 -0.570113 2.484842 -0.572068 
-0.780000 2.467385 -0.511530 2.472713 -0.511820 
-0.750000 2.451683 -0.462118 2.456192 -0.461222 
-0.720000 2.433703 -0.420329 2.437331 -0.418632 
-0.690000 2.414639 -0.384795 2.417399 -0.382599 
-0.660000 2.395226 -0.354372 2.397171 -0.351907 
-0.630000 2.375904 -0.328116 2.377106 -0.325562 
-0.600000 2.356927 -0.305266 2.357467 -0.302761 
-0.570000 2.338434 -0.285200 2.338397 -0.282853 
-0.540000 2.320484 -0.267414 2.319956 -0.265310 
-0.510000 2.303092 -0.251493 2.302158 -0.249699 
-0.480000 2.286236 -0.237093 2.284985 -0.235661 
-0.450000 2.269873 -0.223924 2.268396 -0.222895 
-0.420000 2.253941 -0.211740 2.252331 -0.211141 
-0.390000 2.238359 -0.200331 2.236716 -0.200173 
-0.360000 2.223032 -0.189515 2.221459 -0.189794 
-0.330000 2.207842 -0.179136 2.206449 -0.179826 
-0.300000 2.192649 -0.169067 2.191544 -0.170112 
-0.270000 2.177288 -0.159210 2.176572 -0.160525 
-0.240000 2.161561 -0.149511 2.161320 -0.150969 
-0.210000 2.145248 -0.139969 2.145527 -0.141407 
-0.180000 2.128108 -0.130657 2.128895 -0.131882 
-0.150000 2.109904 -0.121744 2.111106 -0.122554 
-0.120000 2.090440 -0.113505 2.091866 -0.113734 
-0.090000 2.069611 -0.106320 2.070986 -0.105891 
-0.060000 2.047462 -0.100639 2.048477 -0.099620 
-0.030000 2.024231 -0.096917 2.024626 -0.095534 
0.000000 2.000348 -0.095507 2.000009 -0.094106 
0.030000 1.976378 -0.096574 1.975387 -0.095519 
0.060000 1.952910 -0.100040 1.951524 -0.099596 
0.090000 1.930442 -0.105607 1.929001 -0.105868 
0.120000 1.909290 -0.112834 1.908111 -0.113719 
0.150000 1.889564 -0.121244 1.888868 -0.122554 
0.180000 1.871200 -0.130408 1.871084 -0.131897 
0.210000 1.854012 -0.140001 1.854466 -0.141435 
0.240000 1.837754 -0.149812 1.838693 -0.151005 
0.270000 1.822167 -0.159738 1.823463 -0.160562 
0.300000 1.807004 -0.169762 1.808516 -0.170145 
0.330000 1.792047 -0.179932 1.793637 -0.179846 
0.360000 1.777110 -0.190343 1.778650 -0.189798 
0.390000 1.762037 -0.201126 1.763416 -0.200154 
0.420000 1.746700 -0.212441 1.747821 -0.211094 
0.450000 1.730990 -0.224474 1.731772 -0.222815 
0.480000 1.714822 -0.237441 1.715195 -0.235545 
0.510000 1.698124 -0.251593 1.698031 -0.249541 
0.540000 1.680845 -0.267220 1.680237 -0.265106 
0.570000 1.662956 -0.284671 1.661794 -0.282599 
0.600000 1.644460 -0.304364 1.642713 -0.302453 
0.630000 1.625404 -0.326809 1.623057 -0.325195 
0.660000 1.605908 -0.352631 1.602962 -0.351476 
0.690000 1.586205 -0.382607 1.582690 -0.382102 
0.720000 1.566708 -0.417696 1.562698 -0.418067 
0.750000 1.548116 -0.459078 1.543752 -0.460592 
0.780000 1.531586 -0.508176 1.527119 -0.511133 
0.810000 1.519000 -0.566629 1.514843 -0.571342 
0.840000 1.513358 -0.636145 1.510167 -0.642875 
0.870000 1.519331 -0.718070 1.518081 -0.726888 
0.900000 1.543853 -0.812401 1.545862 -0.822915 
0.930000 1.596333 -0.915837 1.603076 -0.926776 
0.960000 1.687326 -1.018727 1.699779 -1.027531 
0.990000 1.823734 -1.102169 1.841105 -1.105175 
1.020000 1.999881 -1.139663 2.018468 -1.133749 
1.050000 2.190334 -1.108732 2.204402 -1.094036 
1.080000 2.356677 -1.008105 2.361930 -0.988926 
1.110000 2.468798 -0.862077 2.465096 -0.844117 
1.140000 2.519922 -0.704544 2.510331 -0.691486 
1.170000 2.522060 -0.560649 2.510181 -0.553326 
1.200000 2.492895 -0.441378 2.481270 -0.438886 
1.230000 2.447237 -0.347732 2.437163 -0.348662 
1.260000 2.394841 -0.276225 2.386754 -0.279301 
1.290000 2.341275 -0.222297 2.335155 -0.226563 
1.320000 2.289374 -0.181784 2.285004 -0.186589 
1.350000 2.240389 -0.151344 2.237494 -0.156269 
1.380000 2.194715 -0.128436 2.193027 -0.133223 
1.410000 2.152315 -0.111179 2.151597 -0.115676 
1.440000 2.112953 -0.098191 2.113005 -0.102315 
1.470000 2.076317 -0.088459 2.076974 -0.092169 
1.500000 2.042078 -0.081237 2.043204 -0.084519 
1.530000 2.009921 -0.075973 2.011408 -0.078830 
1.560000 1.979558 -0.072256 1.981317 -0.074700 
1.590000 1.950731 -0.069778 1.952691 -0.071826 
1.620000 1.923213 -0.068307 1.925314 -0.069978 
1.650000 1.896804 -0.067666 1.898997 -0.068981 
1.680000 1.871325 -0.067721 1.873572 -0.068701 
1.710000 1.846624 -0.068371 1.848889 -0.069036 
1.740000 1.822561 -0.069538 1.824816 -0.069907 
1.770000 1.799014 -0.071165 1.801235 -0.071257 
1.800000 1.775875 -0.073209 1.778041 -0.073041 
1.830000 1.753043 -0.075639 1.755135 -0.075228 
1.860000 1.730428 -0.078436 1.732430 -0.077797 
1.890000 1.707948 -0.081587 1.709845 -0.080733 
1.920000 1.685525 -0.085086 1.687304 -0.084032 
1.950000 1.663088 -0.088935 1.664734 -0.087695 
1.980000 1.640566 -0.093140 1.642069 -0.091726 
2.010000 1.617895 -0.097714 1.619242 -0.096138 
2.040000 1.595011 -0.102673 1.596191 -0.100947 
2.070000 1.571850 -0.108039 1.572852 -0.106176 
2.100000 1.548353 -0.113839 1.549164 -0.111851 
2.130000 1.524457 -0.120106 1.525066 -0.118006 
2.160000 1.500100 -0.126877 1.500495 -0.124678 
2.190000 1.475220 -0.134197 1.475389 -0.131912 
2.220000 1.449753 -0.142116 1.449683 -0.139761 
2.250000 1.423633 -0.150694 1.423311 -0.148284 
2.280000 1.396792 -0.159997 1.396204 -0.157550 
2.310000 1.369162 -0.170101 1.368293 -0.167637 
2.340000 1.340667 -0.181096 1.339504 -0.178635 
2.370000 1.311235 -0.193082 1.309761 -0.190648 
2.400000 1.280785 -0.206174 1.278985 -0.203794 
2.430000 1.249236 -0.220504 1.247095 -0.218210 
2.460000 1.216505 -0.236227 1.214006 -0.234053 
2.490000 1.182505 -0.253518 1.179633 -0.251504 
2.520000 1.147148 -0.272582 1.143889 -0.270774 
2.550000 1.110348 -0.293653 1.106688 -0.292104 
2.580000 1.072017 -0.317007 1.067947 -0.315777 
2.610000 1.032078 -0.342961 1.027589 -0.342122 
2.640000 0.990458 -0.371889 0.985550 -0.371521 
2.670000 0.947102 -0.404224 0.941783 -0.404421 
2.700000 0.901982 -0.440475 0.896268 -0.441343 
2.730000 0.855105 -0.481234 0.849028 -0.482897 
2.760000 0.806532 -0.527197 0.800146 -0.529795 
2.790000 0.756405 -0.579174 0.749790 -0.582863 
2.820000 0.704976 -0.638108 0.698249 -0.643063 
2.850000 0.652655 -0.705091 0.645983 -0.711501 
2.880000 0.600071 -0.781372 0.593684 -0.789434 
2.910000 0.548154 -0.868358 0.542361 -0.878270 
2.940000 0.498239 -0.967602 0.493455 -0.979536 
2.970000 0.452208 -1.080744 0.448968 -1.094824 
3.000000 0.412647 -1.209415 0.411629 -1.225661 
3.030000 0.383039 -1.355038 0.385066 -1.373303 
3.060000 0.367927 -1.518520 0.373954 -1.538392 
3.090000 0.373029 -1.699768 0.384071 -1.720458 
3.120000 0.405160 -1.897022 0.422159 -1.917251 
3.150000 0.471824 -2.106040 0.495416 -2.123965 
3.180000 0.580287 -2.319294 0.610478 -2.332551 
