# [1] Energy
# [2] Total DOS of spin up
# [3] Total DOS of spin down
# [4] PDOS of shell0,spin up,band0
# [5] PDOS of shell0,spin down,band0
2.130000 0.090421 0.089162 0.090421 0.089162
2.160000 0.089278 0.088316 0.089278 0.088316
2.190000 0.087275 0.086718 0.087275 0.086718
2.220000 0.085163 0.084907 0.085163 0.084907
2.250000 0.083248 0.083148 0.083248 0.083148
2.280000 0.081497 0.081473 0.081497 0.081473
2.310000 0.079736 0.079792 0.079736 0.079792
2.340000 0.077799 0.077998 0.077799 0.077998
2.370000 0.075614 0.076025 0.075614 0.076025
2.400000 0.073208 0.073871 0.073208 0.073871
2.430000 0.070665 0.071580 0.070665 0.071580
2.460000 0.068089 0.069221 0.068089 0.069221
2.490000 0.065568 0.066866 0.065568 0.066866
2.520000 0.063165 0.064571 0.063165 0.064571
2.550000 0.060917 0.062377 0.060917 0.062377
2.580000 0.058844 0.060311 0.058844 0.060311
2.610000 0.056950 0.058385 0.056950 0.058385
2.640000 0.055235 0.056604 0.055235 0.056604
2.670000 0.053691 0.054968 0.053691 0.054968
2.700000 0.052311 0.053475 0.052311 0.053475
2.730000 0.051085 0.052117 0.051085 0.052117
2.760000 0.050003 0.050889 0.050003 0.050889
2.790000 0.049055 0.049784 0.049055 0.049784
2.820000 0.048229 0.048795 0.048229 0.048795
2.850000 0.047517 0.047913 0.047517 0.047913
2.880000 0.046909 0.047131 0.046909 0.047131
2.910000 0.046397 0.046442 0.046397 0.046442
2.940000 0.045971 0.045840 0.045971 0.045840
2.970000 0.045625 0.045317 0.045625 0.045317
3.000000 0.045351 0.044868 0.045351 0.044868
3.030000 0.045145 0.044487 0.045145 0.044487
3.060000 0.044998 0.044169 0.044998 0.044169
3.090000 0.044908 0.043909 0.044908 0.043909
3.120000 0.044868 0.043702 0.044868 0.043702
3.150000 0.044874 0.043546 0.044874 0.043546
3.180000 0.044923 0.043435 0.044923 0.043435
3.210000 0.045011 0.043367 0.045011 0.043367
3.240000 0.045134 0.043338 0.045134 0.043338
3.270000 0.045290 0.043346 0.045290 0.043346
3.300000 0.045474 0.043387 0.045474 0.043387
3.330000 0.045685 0.043460 0.045685 0.043460
3.360000 0.045920 0.043561 0.045920 0.043561
3.390000 0.046175 0.043689 0.046175 0.043689
3.420000 0.046449 0.043841 0.046449 0.043841
3.450000 0.046740 0.044015 0.046740 0.044015
3.480000 0.047044 0.044209 0.047044 0.044209
3.510000 0.047359 0.044421 0.047359 0.044421
3.540000 0.047684 0.044649 0.047684 0.044649
3.570000 0.048017 0.044892 0.048017 0.044892
3.600000 0.048354 0.045146 0.048354 0.045146
3.630000 0.048694 0.045411 0.048694 0.045411
3.660000 0.049035 0.045685 0.049035 0.045685
3.690000 0.049375 0.045966 0.049375 0.045966
3.720000 0.049711 0.046251 0.049711 0.046251
3.750000 0.050043 0.046540 0.050043 0.046540
3.780000 0.050367 0.046831 0.050367 0.046831
3.810000 0.050683 0.047122 0.050683 0.047122
3.840000 0.050989 0.047411 0.050989 0.047411
3.870000 0.051282 0.047696 0.051282 0.047696
3.900000 0.051562 0.047978 0.051562 0.047978
3.930000 0.051826 0.048254 0.051826 0.048254
3.960000 0.052073 0.048522 0.052073 0.048522
3.990000 0.052303 0.048783 0.052303 0.048783
4.020000 0.052514 0.049034 0.052514 0.049034
4.050000 0.052704 0.049275 0.052704 0.049275
4.080000 0.052872 0.049505 0.052872 0.049505
4.110000 0.053019 0.049723 0.053019 0.049723
4.140000 0.053143 0.049928 0.053143 0.049928
4.170000 0.053243 0.050120 0.053243 0.050120
4.200000 0.053319 0.050296 0.053319 0.050296
4.230000 0.053370 0.050458 0.053370 0.050458
4.260000 0.053396 0.050603 0.053396 0.050603
4.290000 0.053396 0.050732 0.053396 0.050732
4.320000 0.053371 0.050842 0.053371 0.050842
4.350000 0.053320 0.050934 0.053320 0.050934
4.380000 0.053243 0.051006 0.053243 0.051006
4.410000 0.053140 0.051058 0.053140 0.051058
4.440000 0.053011 0.051088 0.053011 0.051088
4.470000 0.052857 0.051096 0.052857 0.051096
4.500000 0.052676 0.051081 0.052676 0.051081
4.530000 0.052469 0.051043 0.052469 0.051043
4.560000 0.052237 0.050980 0.052237 0.050980
4.590000 0.051980 0.050891 0.051980 0.050891
4.620000 0.051697 0.050777 0.051697 0.050777
4.650000 0.051389 0.050637 0.051389 0.050637
4.680000 0.051057 0.050470 0.051057 0.050470
4.710000 0.050700 0.050277 0.050700 0.050277
4.740000 0.050319 0.050055 0.050319 0.050055
4.770000 0.049913 0.049807 0.049913 0.049807
4.800000 0.049485 0.049530 0.049485 0.049530
4.830000 0.049033 0.049226 0.049033 0.049226
4.860000 0.048558 0.048894 0.048558 0.048894
4.890000 0.048062 0.048534 0.048062 0.048534
4.920000 0.047543 0.048146 0.047543 0.048146
4.950000 0.047004 0.047732 0.047004 0.047732
4.980000 0.046444 0.047290 0.046444 0.047290
5.010000 0.045865 0.046821 0.045865 0.046821
5.040000 0.045267 0.046326 0.045267 0.046326
5.070000 0.044651 0.045806 0.044651 0.045806
5.100000 0.044018 0.045261 0.044018 0.045261
5.130000 0.043368 0.044691 0.043368 0.044691
5.160000 0.042704 0.044099 0.042704 0.044099
5.190000 0.042026 0.043483 0.042026 0.043483
5.220000 0.041335 0.042847 0.041335 0.042847
5.250000 0.040633 0.042190 0.040633 0.042190
5.280000 0.039920 0.041515 0.039920 0.041515
5.310000 0.039199 0.040822 0.039199 0.040822
5.340000 0.038470 0.040112 0.038470 0.040112
5.370000 0.037734 0.039389 0.037734 0.039389
5.400000 0.036995 0.038652 0.036995 0.038652
5.430000 0.036251 0.037904 0.036251 0.037904
5.460000 0.035506 0.037146 0.035506 0.037146
5.490000 0.034760 0.036380 0.034760 0.036380
5.520000 0.034015 0.035609 0.034015 0.035609
5.550000 0.033271 0.034833 0.033271 0.034833
5.580000 0.032532 0.034054 0.032532 0.034054
5.610000 0.031796 0.033274 0.031796 0.033274
5.640000 0.031067 0.032496 0.031067 0.032496
5.670000 0.030344 0.031719 0.030344 0.031719
5.700000 0.029629 0.030947 0.029629 0.030947
5.730000 0.028923 0.030181 0.028923 0.030181
5.760000 0.028227 0.029422 0.028227 0.029422
5.790000 0.027541 0.028671 0.027541 0.028671
5.820000 0.026867 0.027930 0.026867 0.027930
5.850000 0.026204 0.027200 0.026204 0.027200
5.880000 0.025554 0.026482 0.025554 0.026482
5.910000 0.024917 0.025777 0.024917 0.025777
5.940000 0.024293 0.025086 0.024293 0.025086
5.970000 0.023683 0.024409 0.023683 0.024409
6.000000 0.023087 0.023746 0.023087 0.023746
